Rank,Player,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo,myName
213,Federico Gaio,1522.6,1479.3,1453.7,1272.0,1501,1488.1,1397.3,Gaio F.
214,Renzo Olivo,1521.9,1325.2,1482.9,1266.4,1423.6,1502.4,1394.2,Olivo R.
215,Ruben Bemelmans,1521.7,1464.2,1369.6,1567.6,1493,1445.7,1544.7,Bemelmans R.
216,Emilio Gomez,1521.4,1500.4,1388.9,1224.5,1510.9,1455.1,1372.9,Gomez E.
217,Jason Jung,1521.2,1491.7,1337.3,1352.7,1506.5,1429.3,1436.9,Jung J.
218,Lukas Klein,1519.7,1347.6,1451.2,-,1433.6,1485.4,1459.8,Klein L.
219,Mitchell Krueger,1518.8,1515.2,1216.9,1230.4,1517,1367.9,1374.6,Krueger M.
220,Andrea Pellegrino,1516.6,1183.4,1501.5,-,1350,1509.1,1458.3,Pellegrino A.
221,Evgeny Donskoy,1516,1463.6,1383.8,1486.9,1489.8,1449.9,1501.5,Donskoy E.
222,Alex Bolt,1516,1566.5,1128.1,1583.9,1541.3,1322,1549.9,Bolt A.
223,Go Soeda,1514.1,1442.1,1299.5,1514.2,1478.1,1406.8,1514.1,Soeda G.
224,Yasutaka Uchiyama,1513.2,1475.4,1216.8,1378.9,1494.3,1365,1446,Uchiyama Y.
225,Prajnesh Gunneswaran,1511.6,1519.8,1290.1,1307.7,1515.7,1400.8,1409.6,Gunneswaran P.
226,Carlos Gimeno Valero,1508.9,-,1439.8,-,1364.5,1474.4,1454.5,Valero C.G.
227,Constant Lestienne,1506.3,1475.7,1415.0,1303.9,1491,1460.7,1405.1,Lestienne C.
228,Mikael Torpegaard,1506,1460.8,1382.9,1467.6,1483.4,1444.4,1486.8,Torpegaard M.
229,Filip Cristian Jianu,1504.1,1444.4,1450.0,1500.0,1474.3,1477,1502.1,Jianu F.C.
230,Brayden Schnur,1503.8,1418.9,1400.4,1402.9,1461.3,1452.1,1453.3,Schnur B.
231,Ulises Blanch,1503.7,1466.7,1298.1,-,1485.2,1400.9,1451.8,Blanch U.
232,Zdenek Kolar,1502.9,1392.0,1456.2,1379.0,1447.4,1479.5,1441,Kolar Z.
233,Guilherme Clezar,1500.9,1357.3,1465.6,1207.1,1429.1,1483.2,1354,Clezar G.
234,Mirza Basic,1500.5,1399.3,1447.5,1267.9,1449.9,1474,1384.2,Basic M.
235,Ramkumar Ramanathan,1500.4,1415.8,1361.8,1566.2,1458.1,1431.1,1533.3,Ramanathan R.
236,Antoine Hoang,1497.1,1453.2,1385.9,1509.8,1475.1,1441.5,1503.5,Hoang A.
237,Steven Diez,1494.9,1412.1,1425.6,1316.8,1453.5,1460.3,1405.8,Diez S.
238,Tommy Robredo,1493.2,1518.8,1444.9,1522.9,1506,1469,1508.1,Robredo T.
239,Cem Ilkel,1492.6,1454.7,1330.7,1307.7,1473.7,1411.6,1400.2,Ilkel C.
240,Max Purcell,1491.4,1416.5,1334.3,1350.6,1454,1412.9,1421,Purcell M.
241,Evan Furness,1491.4,1329.6,1412.6,-,1410.5,1452,1445.7,Furness E.
242,Maxime Janvier,1487.4,1486.2,1352.5,1342.8,1486.8,1420,1415.1,Janvier M.
243,Dmitry Popko,1487.1,1415.8,1472.4,1319.9,1451.5,1479.7,1403.5,Popko D.
244,Nicolas Mejia,1486.3,1445.8,1157.5,-,1466,1321.9,1443.1,Mejia N.
245,Juan Pablo Ficovich,1485.8,1323.8,1439.3,-,1404.8,1462.6,1442.9,Ficovich J.P.
246,Flavio Cobolli,1484,1150.1,1428.5,-,1317,1456.3,1442,Cobolli F.
247,Timofey Skatov,1483.9,1258.6,1422.6,-,1371.3,1453.2,1441.9,Skatov T.
248,Andrea Collarini,1483.6,1128.6,1445.3,1366.6,1306.1,1464.5,1425.1,Collarini A.
249,Pavel Kotov,1480.8,1456.3,1339.8,-,1468.6,1410.3,1440.4,Kotov P.
250,Yannick Maden,1479.3,1432.2,1431.9,1441.0,1455.8,1455.6,1460.1,Maden Y.
251,Marc Andrea Huesler,1478.5,1430.0,1455.1,1301.0,1454.3,1466.8,1389.8,Huesler M.A.
252,Raul Brancaccio,1477.2,1328.6,1446.4,-,1402.9,1461.8,1438.6,Brancaccio R.
253,Tristan Lamasine,1476.3,1389.2,1421.7,1475.8,1432.8,1449,1476,Lamasine T.
254,Thiago Seyboth Wild,1475.7,1352.9,1434.5,1351.7,1414.3,1455.1,1413.7,Wild T.S.
255,Danilo Petrovic,1475.5,1367.7,1455.5,1287.5,1421.6,1465.5,1381.5,Petrovic D.
256,Borna Gojo,1474.2,1467.6,1351.9,1344.5,1470.9,1413.1,1409.4,Gojo B.
257,Chun Hsin Tseng,1471.3,1406.3,1394.7,1426.6,1438.8,1433,1448.9,Tseng C.H.
